 ,Area,X,Y,BX,BY,Width,Height
1,0,24.000,160.250,24,160,1,1
2,0,13.250,178.750,13,179,1,1
3,0,63.500,207.250,64,207,1,1
4,0,74.750,125.750,75,126,1,1
5,0,77.250,151.250,77,151,1,1
6,0,77.750,122.000,78,122,1,1
7,0,83.250,224.750,83,225,1,1
8,0,192.833,178.500,193,179,1,1
9,0,207.833,214.833,208,215,1,1
10,0,334.500,171.000,335,171,1,1
11,0,196.000,71.500,196,72,1,1
12,0,457.000,141.500,457,142,1,1
13,0,197.000,260.000,197,260,1,1
14,0,201.000,260.500,201,261,1,1
15,0,341.500,257.000,342,257,1,1
16,0,439.000,222.000,439,222,1,1
17,0,488.500,145.250,489,145,1,1
18,0,491.000,214.000,491,214,1,1
19,0,533.500,177.167,534,177,1,1
20,0,573.500,98.500,574,99,1,1
21,0,617.000,178.500,617,179,1,1
22,0,584.000,246.000,584,246,1,1
23,0,384.500,71.000,385,71,1,1
24,0,251.000,286.000,251,286,1,1
25,0,435.500,257.000,436,257,1,1
26,0,201.833,151.167,202,151,1,1
27,0,139.167,152.500,139,153,1,1
