 ,Area,X,Y,BX,BY,Width,Height
1,0,29.000,161.500,29,162,1,1
2,0,25.250,168.750,25,169,1,1
3,0,73.000,198.750,73,199,1,1
4,0,84.750,127.500,85,128,1,1
5,0,85.750,165.250,86,165,1,1
6,0,84.750,119.500,85,120,1,1
7,0,88.000,208.250,88,208,1,1
8,0,229.833,177.833,230,178,1,1
9,0,230.833,208.833,231,209,1,1
10,0,317.500,152.250,318,152,1,1
11,0,216.500,81.500,217,82,1,1
12,0,457.000,140.500,457,141,1,1
13,0,229.000,233.500,229,234,1,1
14,0,214.500,235.000,215,235,1,1
15,0,362.000,233.500,362,234,1,1
16,0,442.500,200.500,443,201,1,1
17,0,484.000,145.000,484,145,1,1
18,0,486.500,194.500,487,195,1,1
19,0,533.167,169.500,533,170,1,1
20,0,569.833,111.833,570,112,1,1
21,0,603.167,171.167,603,171,1,1
22,0,569.833,228.167,570,228,1,1
23,0,416.500,86.500,417,87,1,1
24,0,265.000,276.500,265,277,1,1
25,0,452.500,242.500,453,243,1,1
26,0,216.833,149.167,217,149,1,1
27,0,147.500,149.500,148,150,1,1
