 ,Area,X,Y,BX,BY,Width,Height
1,0,48.167,58.667,48,59,1,1
2,0,52.333,78.167,52,78,1,1
3,0,122.000,66.750,122,67,1,1
4,0,81.000,39.250,81,39,1,1
5,0,81.750,56.750,82,57,1,1
6,0,81.750,37.750,82,38,1,1
7,0,85.375,89.250,85,89,1,1
8,0,227.000,187.500,227,188,1,1
9,0,217.000,185.500,217,186,1,1
10,0,223.500,194.000,224,194,1,1
11,0,220.000,11.500,220,12,1,1
12,0,260.500,191.500,261,192,1,1
13,0,221.500,86.500,222,87,1,1
14,0,264.500,217.500,265,218,1,1
15,0,491.167,238.167,491,238,1,1
16,0,243.500,221.500,244,222,1,1
17,0,221.500,224.500,222,225,1,1
18,0,209.500,227.500,210,228,1,1
19,0,28.000,401.000,28,401,1,1
20,0,194.500,207.500,195,208,1,1
21,0,15.666,399.720,16,400,1,1
22,0,194.466,233.166,194,233,1,1
23,0,209.162,243.943,209,244,1,1
24,0,221.899,244.922,222,245,1,1
25,0,236.105,245.412,236,245,1,1
26,0,249.821,247.861,250,248,1,1
27,0,254.230,242.473,254,242,1,1
