 ,Area,X,Y,BX,BY,Width,Height
1,0,25.167,148.167,25,148,1,1
2,0,26.333,156.333,26,156,1,1
3,0,59.167,167.500,59,168,1,1
4,0,87.500,102.167,88,102,1,1
5,0,89.167,134.833,89,135,1,1
6,0,88.167,96.500,88,97,1,1
7,0,92.500,194.833,93,195,1,1
8,0,179.833,152.500,180,153,1,1
9,0,197.833,175.500,198,176,1,1
10,0,232.833,108.167,233,108,1,1
11,0,182.833,66.167,183,66,1,1
12,0,424.000,107.500,424,108,1,1
13,0,190.000,227.500,190,228,1,1
14,0,186.000,230.500,186,231,1,1
15,0,298.500,225.000,299,225,1,1
16,0,415.500,191.000,416,191,1,1
17,0,460.500,120.000,461,120,1,1
18,0,459.000,184.000,459,184,1,1
19,0,486.000,154.000,486,154,1,1
20,0,555.500,72.833,556,73,1,1
21,0,593.500,150.833,594,151,1,1
22,0,552.167,226.167,552,226,1,1
23,0,373.500,51.500,374,52,1,1
24,0,222.833,262.833,223,263,1,1
25,0,414.167,242.833,414,243,1,1
26,0,176.000,140.000,176,140,1,1
27,0,131.000,142.500,131,143,1,1
