 ,Area,X,Y,BX,BY,Width,Height
1,0,11.500,158.000,12,158,1,1
2,0,11.750,165.000,12,165,1,1
3,0,22.000,169.000,22,169,1,1
4,0,42.750,124.500,43,125,1,1
5,0,44.250,153.000,44,153,1,1
6,0,42.500,107.500,43,108,1,1
7,0,49.833,221.167,50,221,1,1
8,0,99.167,180.833,99,181,1,1
9,0,116.167,207.500,116,208,1,1
10,0,177.500,130.833,178,131,1,1
11,0,103.500,62.500,104,63,1,1
12,0,363.500,129.000,364,129,1,1
13,0,119.000,250.500,119,251,1,1
14,0,101.500,251.000,102,251,1,1
15,0,235.000,257.000,235,257,1,1
16,0,358.500,188.000,359,188,1,1
17,0,380.000,130.500,380,131,1,1
18,0,383.000,185.000,383,185,1,1
19,0,411.000,158.000,411,158,1,1
20,0,553.500,82.167,554,82,1,1
21,0,479.500,164.167,480,164,1,1
22,0,554.833,227.500,555,228,1,1
23,0,272.167,46.167,272,46,1,1
24,0,132.833,282.167,133,282,1,1
25,0,334.167,253.500,334,254,1,1
26,0,96.750,161.750,97,162,1,1
27,0,68.000,162.500,68,163,1,1
