 ,Area,X,Y,BX,BY,Width,Height
1,0,18.167,128.667,18,129,1,1
2,0,20.833,139.000,21,139,1,1
3,0,38.667,137.833,39,138,1,1
4,0,72.250,92.750,72,93,1,1
5,0,74.000,123.750,74,124,1,1
6,0,72.250,83.500,72,84,1,1
7,0,74.500,161.500,75,162,1,1
8,0,156.167,129.167,156,129,1,1
9,0,167.333,154.000,167,154,1,1
10,0,245.250,122.000,245,122,1,1
11,0,147.667,60.667,148,61,1,1
12,0,449.500,94.000,450,94,1,1
13,0,152.833,184.167,153,184,1,1
14,0,163.833,186.167,164,186,1,1
15,0,266.167,194.167,266,194,1,1
16,0,449.167,169.833,449,170,1,1
17,0,467.167,94.833,467,95,1,1
18,0,470.833,163.167,471,163,1,1
19,0,521.500,124.833,522,125,1,1
20,0,573.000,68.500,573,69,1,1
21,0,601.500,127.000,602,127,1,1
22,0,583.500,182.500,584,183,1,1
23,0,374.000,55.500,374,56,1,1
24,0,192.500,216.500,193,217,1,1
25,0,347.500,211.500,348,212,1,1
26,0,161.750,114.000,162,114,1,1
27,0,110.750,115.250,111,115,1,1
