 ,Area,X,Y,BX,BY,Width,Height
1,0,26.833,147.833,27,148,1,1
2,0,21.167,164.833,21,165,1,1
3,0,56.833,170.500,57,171,1,1
4,0,98.833,120.167,99,120,1,1
5,0,99.833,159.833,100,160,1,1
6,0,98.167,109.833,98,110,1,1
7,0,96.500,197.167,97,197,1,1
8,0,196.167,159.833,196,160,1,1
9,0,209.833,183.167,210,183,1,1
10,0,247.167,125.833,247,126,1,1
11,0,204.500,70.167,205,70,1,1
12,0,435.500,115.000,436,115,1,1
13,0,214.500,216.500,215,217,1,1
14,0,209.500,217.000,210,217,1,1
15,0,311.500,213.500,312,214,1,1
16,0,419.500,190.500,420,191,1,1
17,0,460.167,124.167,460,124,1,1
18,0,460.500,187.500,461,188,1,1
19,0,504.167,157.167,504,157,1,1
20,0,582.167,91.833,582,92,1,1
21,0,594.833,161.500,595,162,1,1
22,0,571.167,226.500,571,227,1,1
23,0,363.000,58.500,363,59,1,1
24,0,245.500,251.500,246,252,1,1
25,0,401.000,228.000,401,228,1,1
26,0,192.750,150.250,193,150,1,1
27,0,149.250,149.250,149,149,1,1
