 ,Area,X,Y,BX,BY,Width,Height
1,0,17.750,119.000,18,119,1,1
2,0,19.000,131.500,19,132,1,1
3,0,43.750,131.000,44,131,1,1
4,0,74.250,87.000,74,87,1,1
5,0,75.750,110.750,76,111,1,1
6,0,73.500,73.250,74,73,1,1
7,0,73.250,157.750,73,158,1,1
8,0,165.000,118.000,165,118,1,1
9,0,182.750,141.750,183,142,1,1
10,0,247.500,76.750,248,77,1,1
11,0,152.750,51.250,153,51,1,1
12,0,448.000,91.000,448,91,1,1
13,0,159.000,176.500,159,177,1,1
14,0,168.167,176.833,168,177,1,1
15,0,280.833,175.500,281,176,1,1
16,0,456.500,159.833,457,160,1,1
17,0,490.167,95.500,490,96,1,1
18,0,492.833,156.167,493,156,1,1
19,0,526.167,125.500,526,126,1,1
20,0,584.500,70.500,585,71,1,1
21,0,599.167,126.833,599,127,1,1
22,0,588.500,176.500,589,177,1,1
23,0,368.500,52.500,369,53,1,1
24,0,195.500,201.500,196,202,1,1
25,0,357.500,196.500,358,197,1,1
26,0,165.250,106.000,165,106,1,1
27,0,108.000,105.500,108,106,1,1
