 ,Area,X,Y,BX,BY,Width,Height
1,0,35.167,166.833,35,167,1,1
2,0,32.833,172.500,33,173,1,1
3,0,51.500,191.500,52,192,1,1
4,0,76.833,130.833,77,131,1,1
5,0,78.167,174.167,78,174,1,1
6,0,75.833,121.167,76,121,1,1
7,0,79.167,240.167,79,240,1,1
8,0,162.000,187.000,162,187,1,1
9,0,170.500,234.250,171,234,1,1
10,0,262.000,132.000,262,132,1,1
11,0,168.500,75.000,169,75,1,1
12,0,402.500,146.000,403,146,1,1
13,0,173.000,267.500,173,268,1,1
14,0,160.000,268.000,160,268,1,1
15,0,276.000,264.500,276,265,1,1
16,0,396.000,222.000,396,222,1,1
17,0,422.000,150.000,422,150,1,1
18,0,429.500,218.000,430,218,1,1
19,0,452.500,183.500,453,184,1,1
20,0,562.167,117.500,562,118,1,1
21,0,566.833,174.833,567,175,1,1
22,0,556.167,230.167,556,230,1,1
23,0,234.833,63.500,235,64,1,1
24,0,214.833,306.167,215,306,1,1
25,0,371.500,268.167,372,268,1,1
26,0,160.833,165.833,161,166,1,1
27,0,44.500,280.500,45,281,1,1
